Goal	Map#	low G	high G
-----------------------------------------------------------------------------
No		1		-1		-1
No		2		-1		-1
No		3		-1		-1
No		4		-1		-1
Yes		5		2114		797
Yes		6		1287		593
Yes		7		2554		1384
No		8		-1		-1
Yes		9		1053		477
No		10		-1		-1
No		11		-1		-1
No		12		-1		-1
Yes		13		2834		1652
Yes		14		1368		754
No		15		-1		-1
Yes		16		2209		1127
No		17		-1		-1
No		18		-1		-1
No		19		-1		-1
No		20		-1		-1
No		21		-1		-1
Yes		22		3201		3457
Yes		23		1679		1531
No		24		-1		-1
Yes		25		1406		459
No		26		-1		-1
Yes		27		1470		541
Yes		28		1906		1651
Yes		29		1428		464
No		30		-1		-1
No		31		-1		-1
Yes		32		1931		576
Yes		33		5343		5794
No		34		-1		-1
No		35		-1		-1
Yes		36		2214		1894
Yes		37		1436		693
Yes		38		1894		1483
No		39		-1		-1
No		40		-1		-1
No		41		-1		-1
Yes		42		3790		4099
Yes		43		2007		1278
No		44		-1		-1
No		45		-1		-1
Yes		46		1359		574
No		47		-1		-1
Yes		48		3937		4117
Yes		49		2427		1265
Yes		50		1527		894
